user_id,segment,item_id,description,avg_price,total_revenue
18135,VIP,23130,MISTLETOE HEART WREATH GREEN,4.234790419161677,3748.42
18135,VIP,23109,PACK OF SIX LED TEA LIGHTS,2.904345991561182,6528.25
18135,VIP,84978,HANGING HEART JAR T-LIGHT HOLDER,1.2279982206405693,22321.06
18135,VIP,71459,HANGING JAM JAR T-LIGHT HOLDER,0.832011111111111,25106.76
18135,VIP,22470,HEART OF WICKER LARGE,2.944329399141631,52157.68
18135,VIP,22460,EMBOSSED GLASS TEALIGHT HOLDER,1.2675254237288136,5231.09
18135,VIP,23103,JINGLE BELL HEART DECORATION,1.6476047904191615,6456.149999999999
18135,VIP,21733,RED HANGING HEART T-LIGHT HOLDER,2.9161863425925927,50010.85
18135,VIP,23322,LARGE WHITE HEART OF WICKER,2.9476136363636365,8184.700000000001
18135,VIP,84946,ANTIQUE SILVER TEA GLASS ETCHED,1.2335277177825774,37794.78
